PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST
1,464,15.4,0,0.0,2.7,2,1.9
3,409,16.6,2,2.2,4.6,2,0.1
2,182,16.2,0,0.6,4.6,2,2.7
3,34,18.5,0,0.9,24.0,3,9.0
2,483,14.2,1,1.4,10.2,2,3.0
4,649,14.1,13,9.1,1.7,2,3.0
3,577,17.1,0,0.8,22.4,3,5.0
1,407,17.5,0,0.5,2.8,2,1.9
3,558,15.3,2,2.4,7.9,2,3.0
4,549,14.6,7,6.1,18.6,2,4.8
3,461,22.2,0,2.6,1.0,2,1.7
2,342,11.7,0,0.4,22.4,3,3.9
3,574,24.0,0,0.4,6.1,2,3.3
1,697,2.2,2,3.2,15.3,2,2.7
2,619,14.1,0,2.4,23.7,3,4.0
1,388,9.9,1,1.8,20.4,2,4.7
4,88,16.7,0,0.8,25.6,3,6.9
2,99,3.6,1,2.5,4.8,2,0.8
1,448,10.4,0,0.9,14.9,2,3.5
1,408,15.4,0,0.8,18.1,2,5.8
2,11,6.0,0,0.8,25.5,3,7.7
2,103,10.0,1,1.8,3.8,2,1.3
2,199,13.0,1,1.4,7.9,2,2.4
1,291,12.3,1,2.1,15.9,2,4.7
2,565,8.5,0,1.0,22.9,3,6.7
3,485,17.4,0,0.8,24.5,3,4.6
2,121,11.6,0,0.7,22.3,3,6.5
1,204,13.7,0,0.9,24.8,3,5.9
3,7,2.8,0,0.7,3.2,2,1.7
1,288,12.9,0,0.9,24.6,3,3.0
4,169,11.5,7,5.9,5.2,2,1.6
2,434,13.5,0,1.3,7.5,2,2.8
4,211,12.0,11,11.8,8.3,2,1.9
1,6,2.7,0,0.6,21.7,3,5.8
2,576,11.6,0,1.0,24.2,3,6.7
2,165,12.6,0,0.8,23.4,3,5.0
3,217,7.1,1,2.2,4.9,2,1.9
1,295,7.2,0,0.9,24.7,3,5.6
3,398,19.8,0,0.8,24.7,3,7.6
5,68,7.9,2,2.3,14.1,2,3.7
1,11,5.6,4,5.1,12.0,2,3.1
2,167,6.0,2,2.2,6.2,2,2.8
2,456,3.2,0,0.6,22.5,3,4.2
1,323,6.3,1,6.0,0.8,2,0.0
2,75,1.0,2,2.4,17.8,2,11.6
2,583,12.0,0,1.1,25.8,3,6.3
2,126,8.1,1,1.2,16.6,2,2.4
3,319,16.1,0,1.6,24.5,3,8.7
1,669,13.0,0,0.7,14.2,2,4.4
5,285,10.6,0,0.9,18.0,2,4.8
4,712,16.0,4,3.3,26.1,3,2.7
3,333,9.0,5,4.9,6.5,2,2.4
2,342,24.0,0,0.3,2.6,2,3.3
1,524,12.9,0,0.7,20.2,3,2.4
4,323,15.4,2,2.3,24.7,3,6.9
3,582,8.2,0,1.0,23.1,3,12.4
3,206,15.5,1,2.3,24.4,3,4.7
1,356,14.1,0,0.8,19.7,2,7.6
3,555,7.8,1,4.2,14.7,2,2.8
4,249,20.6,1,2.6,2.9,2,2.0
1,570,22.2,0,3.6,4.1,2,7.9
4,458,14.0,1,4.6,18.4,2,3.8
4,187,12.4,0,0.8,18.1,2,13.1
3,118,14.0,0,0.8,18.9,2,6.5
1,563,19.4,0,0.8,25.4,3,6.1
2,82,14.1,0,0.8,23.3,3,8.5
1,520,20.7,0,0.7,3.7,2,3.6
3,390,13.9,2,2.2,5.5,2,1.2
1,147,20.5,4,4.7,3.3,2,3.1
1,483,18.7,0,1.0,20.4,2,5.0
2,13,1.0,7,8.6,6.7,2,2.8
2,91,8.2,2,3.3,16.2,2,6.1
1,400,12.6,3,4.4,4.1,2,0.5
2,42,20.2,7,3.8,2.3,2,2.2
2,593,7.7,0,2.8,2.9,2,0.2
1,599,15.1,11,8.7,25.1,3,6.8
1,475,14.6,0,2.4,13.3,2,2.7
4,303,17.4,0,-0.4,23.9,3,6.0
1,223,18.0,1,1.0,23.3,3,4.5
2,265,15.0,2,4.5,26.9,3,5.1
3,209,12.7,2,3.3,6.0,2,4.9
2,58,10.9,0,0.8,26.6,3,6.0
4,207,3.8,2,5.0,6.2,2,2.0
4,164,11.5,0,0.8,24.8,3,7.4
1,132,10.1,0,0.8,21.9,3,2.0
2,518,3.7,0,0.7,1.6,2,1.9
1,348,16.5,0,0.8,22.9,3,6.7
3,308,5.5,0,1.1,19.1,2,6.2
4,134,13.4,0,1.7,24.8,3,3.3
3,64,18.9,0,0.8,24.4,3,13.2
1,357,9.9,0,0.9,1.6,2,2.7
1,426,24.0,0,0.0,4.4,2,2.5
1,86,15.0,0,0.6,22.5,3,7.2
2,157,13.8,1,1.5,6.9,2,0.4
4,583,5.8,2,2.8,5.4,2,2.9
2,80,9.9,0,0.3,2.3,2,2.8
3,465,19.9,1,1.0,26.9,3,3.7
1,556,5.9,0,0.9,24.1,3,5.6
4,647,12.5,2,2.8,12.8,2,2.7
3,31,19.6,6,4.3,15.7,2,2.6
4,636,10.0,0,1.2,24.7,3,16.1
1,292,6.0,0,1.1,18.9,2,2.2
1,402,12.0,1,1.0,22.0,2,5.3
1,153,14.1,0,1.0,24.4,3,3.6
1,270,7.8,0,0.6,22.7,3,4.9
1,430,2.6,2,2.1,18.7,2,12.9
4,540,12.4,1,2.5,6.9,2,1.8
5,152,18.0,6,4.3,3.8,2,0.1
4,264,16.4,0,0.8,3.2,2,1.4
2,37,9.1,0,3.6,16.2,2,5.6
2,326,15.9,0,1.0,24.5,3,6.7
3,132,2.5,2,2.3,6.0,2,2.6
2,234,17.3,2,2.6,4.3,2,1.4
2,238,8.7,0,1.0,23.1,3,7.3
1,166,10.1,2,4.7,4.3,2,2.0
3,398,14.2,2,4.6,0.4,2,1.5
3,657,8.0,1,2.1,7.6,2,3.0
4,367,24.0,0,1.2,0.3,2,2.5
1,265,15.6,0,0.8,11.3,2,3.4
2,178,7.7,1,1.6,16.7,2,5.3
1,360,18.6,0,1.1,24.4,3,7.8
5,181,5.8,0,0.8,22.8,3,5.2
3,179,20.1,4,3.8,24.2,3,5.2
2,198,17.9,0,1.4,22.6,3,17.7
3,35,13.4,1,0.9,24.0,3,5.3
3,32,5.6,0,0.6,6.4,2,4.7
1,99,9.9,0,0.2,18.2,2,3.6
4,255,11.0,1,2.1,6.6,2,0.2
2,427,9.6,0,0.8,21.4,2,6.1
1,514,17.0,2,3.4,24.3,3,6.1
2,42,1.5,1,1.8,15.5,2,3.5
2,206,9.0,0,0.8,24.9,3,5.6
4,498,6.7,0,1.2,2.6,2,4.6
1,547,6.6,1,2.0,17.7,2,3.9
1,558,8.2,0,1.5,14.2,2,5.8
2,554,15.4,0,0.2,2.9,2,6.0
1,555,15.0,0,1.0,19.7,2,6.1
3,372,12.2,0,1.0,24.1,3,5.7
2,237,18.8,0,1.2,6.1,2,0.9
2,484,17.3,0,0.2,11.8,2,2.3
1,315,9.3,3,3.2,17.1,2,2.3
3,103,10.3,4,5.8,17.0,2,4.0
2,300,14.5,0,0.8,5.4,2,1.9
2,20,6.8,2,4.5,6.0,2,3.4
1,541,24.0,0,0.5,1.7,2,4.0
3,134,12.3,0,0.8,23.7,3,4.6
1,209,6.4,1,2.3,7.8,2,1.7
4,351,19.1,1,1.6,23.3,3,12.9
4,706,10.0,3,3.6,6.7,2,2.8
3,140,4.5,4,6.5,5.8,2,3.0
1,571,15.0,0,0.7,25.1,3,8.5
4,677,10.6,0,0.8,24.3,3,6.7
3,555,6.3,8,8.6,2.9,2,0.0
4,525,5.5,1,4.3,5.7,2,3.3
4,20,3.0,0,0.6,1.1,2,1.8
2,421,16.6,0,0.0,9.0,2,2.4
2,500,12.7,2,2.7,22.4,2,5.7
4,499,15.0,0,1.1,24.0,3,12.2
4,94,6.8,2,1.8,24.2,3,4.3
1,573,19.0,4,5.4,2.2,2,0.4
4,639,1.0,0,1.4,21.7,3,3.8
1,613,19.0,0,0.9,22.8,3,21.0
2,208,19.5,4,4.2,1.8,2,1.5
1,478,8.0,0,0.9,24.3,3,6.9
3,341,8.6,3,2.2,2.5,2,3.7
4,264,13.9,0,0.8,9.4,2,3.4
4,437,2.5,2,2.3,6.4,2,2.8
3,166,11.0,0,1.0,4.1,2,2.2
4,487,18.4,1,3.6,4.1,2,2.1
1,395,1.7,4,3.1,18.5,2,0.0
4,84,1.6,1,1.1,9.0,2,1.7
2,414,10.4,1,2.1,6.4,2,3.8
1,136,13.0,0,1.3,24.4,3,5.7
2,416,5.3,2,2.5,3.5,2,2.9
4,415,17.0,0,1.5,5.5,2,2.0
3,55,12.9,2,2.9,5.0,2,2.2
2,81,19.8,0,1.0,4.3,2,4.3
3,496,17.1,8,7.4,8.4,2,3.5
2,683,3.1,2,3.0,25.8,3,2.1
1,185,5.6,12,11.6,5.9,2,2.7
1,163,11.5,0,1.0,19.9,2,10.9
3,179,11.4,3,4.0,21.3,2,3.7
3,464,9.9,0,0.9,23.1,3,5.3
2,506,20.6,4,3.7,3.3,2,2.8
1,230,15.9,0,0.8,17.9,2,4.9
1,398,14.6,0,0.9,23.6,3,1.2
4,663,2.5,2,2.3,10.0,2,2.4
2,340,10.9,0,0.6,1.6,2,4.1
1,28,11.2,0,0.4,1.5,2,3.6
4,605,6.3,6,5.6,9.7,2,2.0
1,650,8.6,0,0.9,25.9,3,4.3
4,414,13.2,0,1.2,22.6,3,3.4
1,447,19.3,6,5.1,6.7,2,1.7
2,543,15.4,2,2.1,6.6,2,3.7
3,446,8.3,0,1.8,0.9,2,2.6
2,62,19.0,5,5.7,1.8,2,4.6
4,92,19.9,0,2.4,0.8,2,0.8
2,275,3.7,0,0.9,22.4,3,11.4
4,401,11.1,0,1.4,1.2,2,0.0
1,359,14.7,0,0.8,24.8,3,8.2
1,654,1.9,3,7.9,6.8,2,1.8
4,667,11.2,0,0.8,25.0,3,2.9
3,190,12.6,0,5.1,1.3,2,1.4
2,220,20.2,1,1.3,0.4,2,4.0
4,220,23.5,0,0.0,2.7,2,1.8
1,591,14.5,4,3.7,9.9,2,2.3
1,332,19.0,6,5.2,18.4,2,5.6
1,670,19.8,1,1.5,3.6,2,9.3
1,547,15.6,0,0.8,2.9,2,1.9
2,40,10.0,0,0.3,9.6,2,5.4
1,273,6.8,0,0.7,24.5,3,6.0
2,442,17.6,0,1.2,23.5,3,8.6
4,410,0.4,1,2.2,9.3,2,2.4
2,475,20.6,0,0.8,3.7,2,2.5
4,508,12.2,5,4.3,23.6,2,4.0
4,388,8.8,0,0.7,19.9,2,4.3
2,406,8.0,1,2.4,3.5,2,2.5
2,320,6.4,1,3.7,6.5,2,0.9
1,56,19.5,5,3.8,2.9,2,2.0
4,644,6.3,0,0.8,23.1,2,4.5
4,436,8.7,0,0.2,3.7,2,0.0
1,227,24.0,0,0.0,2.7,2,3.2
1,228,8.9,0,0.9,23.2,3,5.5
2,340,15.0,0,0.6,3.8,2,3.8
1,120,7.9,2,5.3,4.8,2,0.3
3,437,12.0,1,1.4,20.3,2,4.7
4,194,7.0,1,1.2,13.2,2,2.7
2,405,24.0,0,0.9,0.4,2,1.6
4,483,6.4,1,1.4,20.1,2,3.7
2,429,13.3,2,6.4,6.8,2,2.7
3,97,1.5,0,1.8,24.9,3,4.2
2,515,11.4,1,1.9,4.9,2,1.8
1,168,10.5,3,2.5,4.1,2,3.8
2,177,11.2,3,5.5,10.2,2,3.1
4,650,11.0,2,4.4,11.4,2,3.4
4,510,16.2,0,0.6,26.0,3,4.6
2,306,7.0,2,3.1,3.4,2,1.5
1,34,17.0,0,3.2,20.7,2,1.3
2,370,10.0,2,2.6,15.1,2,2.7
2,535,16.1,0,1.3,21.7,3,1.4
2,199,6.9,5,4.0,13.6,2,5.5
3,389,8.7,0,1.0,24.0,3,5.3
1,567,14.7,14,10.4,12.1,2,2.9
1,268,9.5,8,6.3,16.1,2,3.9
1,47,24.0,0,1.4,1.9,2,2.1
2,324,14.8,0,0.6,25.0,3,2.3
1,91,13.8,0,1.1,15.6,2,4.9
1,507,12.5,0,0.6,1.9,2,1.4
3,408,18.8,0,1.8,4.8,2,2.0
4,404,14.0,0,0.6,2.7,2,3.6
4,536,17.0,9,7.9,11.4,2,0.5
2,398,9.6,0,0.0,4.9,2,2.5
2,464,15.0,2,2.0,8.3,2,2.6
3,485,9.6,0,0.0,4.4,2,3.3
1,453,12.1,2,2.2,18.4,2,4.6
2,551,11.0,2,2.1,5.7,2,2.4
4,341,21.8,4,3.5,2.5,2,2.9
2,192,17.8,0,0.0,3.2,2,6.7
3,633,24.0,0,0.1,3.6,2,4.8
1,687,12.7,0,3.9,20.8,2,3.8
1,697,24.0,0,0.0,6.2,2,2.1
1,389,19.4,5,5.3,2.8,2,0.0
3,420,10.6,3,3.7,7.1,2,0.4
1,351,6.0,2,4.8,5.7,2,2.8
2,161,8.6,0,0.8,3.6,2,5.5
4,157,18.5,0,0.8,25.0,3,9.6
4,192,11.9,0,0.7,11.7,2,4.4
4,415,6.7,1,2.0,6.3,2,4.4
1,620,18.7,4,2.7,2.0,2,1.6
4,556,23.1,0,1.4,6.0,2,0.8
1,290,8.0,8,8.5,9.2,2,2.3
1,608,16.4,0,0.9,25.3,3,5.3
3,536,17.8,0,0.8,23.1,3,4.4
2,180,14.3,0,0.8,22.3,3,5.8
3,169,15.5,10,9.4,3.3,2,0.2
2,611,15.5,9,9.8,8.1,2,2.3
2,430,17.3,1,3.0,3.9,2,3.4
4,548,9.1,5,5.6,12.6,2,3.0
1,606,19.8,5,4.4,5.5,2,3.9
1,14,5.9,21,18.0,3.4,2,3.0
2,95,19.9,3,4.8,3.8,2,1.4
1,17,10.3,0,1.0,19.1,2,8.6
2,255,10.9,0,0.7,22.7,3,4.9
1,703,8.0,1,1.9,16.3,2,3.9
3,416,24.0,0,0.4,0.9,2,0.1
3,244,8.6,0,0.9,20.3,2,7.3
1,225,13.5,0,1.0,17.5,2,7.3
4,188,5.5,12,10.8,25.2,3,4.3
3,521,14.3,0,1.2,4.3,2,1.0
4,311,2.5,9,11.0,11.4,2,0.1
2,446,15.5,7,8.1,23.5,3,3.1
3,662,2.8,1,1.1,13.9,2,4.0
3,29,20.0,5,4.1,24.3,3,6.0
1,417,13.2,0,1.0,23.7,3,5.3
1,471,12.1,2,2.6,4.0,2,0.0
3,462,20.3,0,1.3,5.3,2,2.8
1,30,10.4,2,3.8,22.4,2,4.5
3,670,9.1,0,2.1,18.1,2,5.8
3,406,4.6,2,3.2,4.0,2,4.0
2,325,11.8,0,-0.4,13.8,2,2.3
1,39,10.7,13,13.1,4.2,2,5.0
4,219,12.4,1,1.7,7.5,2,2.1
4,680,7.5,3,2.9,12.6,2,5.0
1,421,11.0,12,12.1,7.8,2,1.6
2,471,12.1,0,1.2,18.9,2,4.7
1,361,3.3,0,1.2,24.5,3,16.6
4,344,12.4,1,2.0,24.5,3,7.0
3,110,22.2,0,0.7,3.4,2,1.6
3,103,24.0,0,0.1,2.6,2,1.5
2,470,13.7,0,1.4,23.5,3,6.8
2,518,11.1,0,0.5,10.1,2,3.0
1,38,2.7,3,4.9,2.9,2,3.6
1,432,22.4,0,0.8,23.0,3,3.8
3,179,7.9,1,2.5,13.5,2,4.4
2,9,4.8,23,19.2,4.8,2,2.1
3,255,15.0,0,0.8,23.0,3,6.2
4,376,11.3,4,5.0,4.0,2,1.4
1,614,5.0,3,4.1,0.8,2,2.4
1,497,17.0,0,2.5,4.9,2,2.4
1,80,16.0,10,7.3,7.0,2,3.6
1,536,13.7,10,9.8,19.6,2,4.2
2,675,7.5,2,3.7,18.4,2,2.9
4,474,2.6,2,1.6,13.2,2,3.8
3,641,17.0,1,1.7,18.1,2,3.4
3,319,7.3,0,0.8,22.0,3,6.9
2,94,5.0,2,5.0,10.7,2,4.0
4,265,13.7,0,0.8,0.6,2,7.3
2,71,9.7,0,0.7,19.4,2,3.4
4,250,5.2,2,2.1,24.5,3,8.0
1,516,16.1,2,2.4,20.6,2,3.7
3,130,17.0,5,7.1,19.1,2,4.8
1,605,19.5,5,4.4,25.5,3,6.3
4,369,19.0,2,2.0,26.0,3,4.4
2,541,8.8,0,0.8,23.4,3,5.0
2,376,9.3,0,0.9,7.9,2,2.6
1,323,17.0,2,2.2,24.9,3,8.2
3,565,10.0,18,13.5,3.0,2,2.0
3,369,8.1,2,3.0,10.8,2,2.0
2,487,17.2,6,4.8,6.3,2,1.6
2,443,21.0,0,3.6,1.9,2,6.2
5,131,9.7,3,4.6,7.7,2,2.4
3,177,18.4,0,0.3,1.5,2,12.7
3,533,9.5,0,2.1,22.8,3,3.0
4,298,6.0,1,2.2,13.5,2,4.8
1,574,20.5,3,3.8,3.8,2,0.9
1,196,15.0,11,9.2,22.5,2,5.0
3,402,6.8,1,6.2,4.2,2,2.5
4,183,11.6,3,2.0,9.8,2,2.6
1,410,24.0,0,0.0,4.4,2,4.0
1,477,22.6,0,0.0,2.9,2,2.0
4,158,4.8,0,0.8,5.1,2,2.2
1,708,12.3,1,2.5,25.0,3,5.1
2,294,13.2,0,1.0,22.6,3,10.5
1,317,9.4,3,7.1,16.1,2,6.1
1,436,3.0,0,0.6,6.0,2,3.3
1,344,10.6,4,4.8,11.6,2,4.0
1,71,11.0,2,3.5,6.8,2,1.8
3,364,11.3,0,1.1,24.2,3,10.7
4,525,14.7,0,1.2,25.2,3,4.4
4,673,15.9,6,5.4,19.3,2,6.3
4,90,10.2,2,2.4,9.0,2,2.7
4,399,8.9,0,0.9,21.8,2,6.4
3,233,24.0,0,0.1,4.6,2,1.0
2,287,24.0,0,2.3,4.1,2,2.0
3,573,6.9,0,1.7,15.8,2,4.7
4,284,14.2,10,8.6,8.7,2,1.7
4,92,10.8,1,3.2,4.6,2,0.1
4,456,4.0,0,1.0,25.4,3,21.0
4,269,2.2,0,0.8,4.3,2,3.1
3,527,13.8,0,1.0,15.4,2,8.0
1,87,12.5,0,0.8,22.6,3,3.4
1,404,10.5,0,0.5,2.8,2,3.7
1,283,8.0,0,1.0,3.5,2,2.6
4,250,10.0,0,0.9,24.5,3,4.0
4,576,10.7,4,3.0,13.2,2,3.1
1,35,7.0,5,7.7,7.3,2,3.2
4,238,2.6,2,6.4,12.4,2,4.2
4,60,15.1,0,0.9,20.4,2,5.1
2,609,17.9,7,5.4,0.7,2,1.5
2,573,19.0,4,4.0,3.0,2,2.4
1,495,3.6,3,9.8,3.3,2,2.6
4,216,9.0,0,1.0,15.7,2,3.8
1,591,13.4,15,9.6,2.3,2,2.9
3,348,11.1,2,3.8,8.7,2,4.5
3,361,4.5,3,3.3,25.7,3,4.4
2,687,12.3,2,3.4,12.4,2,4.8
2,246,15.8,0,2.5,14.2,2,4.2
4,318,10.3,0,1.1,5.0,2,2.4
2,642,2.1,3,2.9,7.6,2,3.7
4,540,3.0,13,11.2,11.6,2,3.9
3,621,10.5,0,0.8,7.9,2,3.5
1,564,15.8,2,1.8,1.3,2,2.6
3,42,24.0,0,0.1,2.2,2,0.3
2,693,14.8,0,0.7,3.7,2,1.8
3,368,13.0,0,1.2,15.3,2,4.2
1,549,9.5,0,1.2,25.4,3,4.6
3,5,0.8,1,2.0,26.1,3,1.9
4,294,2.7,0,0.8,26.4,3,7.1
3,313,7.0,0,2.0,24.4,3,7.4
2,322,17.3,8,7.6,5.6,2,1.8
3,33,5.3,0,0.9,22.6,3,6.5
1,670,7.3,6,7.8,15.6,2,3.5
1,309,18.7,0,0.9,23.2,3,7.0
2,610,11.0,0,0.8,20.4,2,7.8
4,224,5.0,0,0.6,2.1,2,3.6
3,620,10.0,1,1.4,20.5,2,4.3
4,433,7.6,0,1.1,24.6,3,6.2
2,508,12.3,0,1.3,10.4,2,5.4
1,301,15.9,1,1.7,24.4,3,3.2
3,345,24.0,0,1.4,2.4,2,2.8
4,454,16.7,8,7.5,24.8,3,1.9
1,487,3.9,0,0.8,4.8,2,3.9
4,568,12.1,0,0.8,19.3,2,5.7
3,174,5.2,4,5.6,18.2,2,4.5
2,590,16.1,3,2.6,17.6,2,3.5
4,380,20.7,0,2.5,0.5,2,3.2
1,551,24.0,0,2.3,0.7,2,0.8
2,635,17.0,2,2.4,21.6,2,4.0
3,270,15.2,0,0.8,19.4,2,5.6
3,532,24.0,0,0.1,0.6,2,2.3
3,387,4.0,1,4.5,3.3,2,1.2
3,590,8.5,0,1.7,5.8,2,3.0
4,227,9.0,2,1.8,2.5,2,3.0
4,650,14.7,7,8.2,26.8,3,4.4
2,24,1.1,0,0.9,22.6,3,14.6
1,280,13.4,0,0.7,21.2,2,7.0
4,145,11.9,1,2.2,1.2,2,0.5
2,545,15.0,0,1.0,22.7,3,9.1
2,341,11.0,1,1.5,3.0,2,2.8
1,415,9.1,3,5.0,5.5,2,0.4
2,426,15.0,11,9.3,19.1,2,5.0
4,306,9.9,4,5.8,3.8,2,0.4
5,138,24.0,0,0.7,5.7,2,2.2
5,65,22.3,1,1.3,25.2,3,3.3
4,670,5.0,2,3.1,6.9,2,2.7
2,410,17.2,2,2.2,1.7,2,2.5
4,614,17.4,7,7.4,2.7,2,0.5
1,164,9.2,2,2.1,6.8,2,2.5
1,437,11.9,10,10.7,19.5,2,5.8
3,118,5.8,0,1.3,2.8,2,1.6
1,649,13.9,0,0.7,3.9,2,2.9
3,179,7.0,0,1.0,17.5,2,8.2
4,655,8.8,0,0.8,25.3,3,6.0
3,223,9.0,1,2.5,7.8,2,4.1
3,164,2.6,1,1.1,8.0,2,1.1
3,657,2.4,2,8.1,11.9,2,1.7
3,224,24.0,0,0.4,4.9,2,7.1
3,481,10.8,1,3.0,6.6,2,1.9
2,55,17.0,9,7.4,1.6,2,2.7
3,32,14.5,0,0.8,24.6,3,4.0
3,254,11.8,0,0.9,23.6,3,8.8
1,185,10.5,3,3.0,24.7,3,4.2
2,190,4.4,4,6.0,6.5,2,2.5
1,430,8.1,0,1.1,19.8,2,6.2
1,87,11.8,2,2.8,20.8,2,2.2
2,440,8.4,3,4.8,18.2,2,3.2
4,38,18.7,1,1.6,24.7,3,3.4
2,88,12.1,0,1.0,24.5,3,8.5
1,511,12.4,0,1.0,0.6,2,1.7
1,226,19.4,0,1.4,2.2,2,1.6
4,215,23.4,0,1.3,1.1,2,1.3
2,292,1.3,0,0.7,3.1,2,3.2
3,13,4.4,0,0.6,1.3,2,6.5
2,312,11.1,0,0.7,18.1,2,6.2
3,544,12.1,0,0.9,23.9,3,4.2
3,251,12.5,2,4.4,6.7,2,2.5
3,117,9.3,0,3.4,17.0,2,3.1
1,684,13.0,0,0.7,0.9,2,3.0
3,243,12.0,1,2.4,6.8,2,1.4
4,379,13.2,0,1.0,23.7,3,5.0
2,266,16.1,0,1.0,25.6,3,5.4
2,531,13.7,10,12.3,6.2,2,4.9
1,70,14.5,10,7.3,9.0,2,2.9
4,188,17.4,6,6.0,2.2,2,2.2
2,433,22.5,0,0.8,2.7,2,4.8
1,408,1.7,11,8.6,1.4,2,2.1
1,296,13.1,1,2.2,9.6,2,4.1
1,421,12.0,0,0.6,4.9,2,2.0
4,694,11.6,3,2.4,18.7,2,2.8
3,564,16.9,8,7.5,25.0,3,5.6
1,50,9.9,0,0.8,13.8,2,5.5
3,446,8.6,0,0.1,2.1,2,3.9
3,688,10.3,0,1.1,19.0,2,3.9
2,407,22.0,0,0.8,24.1,3,5.4
1,439,13.0,0,0.9,22.8,3,5.7
3,356,4.1,1,3.7,10.0,2,1.2
3,661,15.8,0,0.0,1.5,2,2.2
4,697,2.9,2,2.6,19.3,2,3.7
2,285,13.0,0,0.6,9.7,2,4.4
4,536,18.0,0,1.1,25.5,3,6.8
4,250,9.7,0,0.4,1.2,2,3.0
4,38,16.9,1,1.7,23.1,2,4.8
1,69,12.0,0,0.7,22.5,3,3.5
2,581,18.0,1,1.9,13.1,2,2.1
3,148,17.6,6,5.0,25.3,3,4.6
4,359,4.6,2,5.3,16.1,2,3.4
3,464,17.1,0,0.8,24.9,3,6.8
1,364,10.7,1,2.6,15.1,2,3.4
3,178,10.3,0,0.9,26.9,3,5.4
2,532,7.1,0,0.8,25.7,3,5.0
4,335,8.0,0,0.8,2.3,2,2.8
2,513,13.2,0,1.0,18.7,2,5.5
2,171,15.5,7,9.0,27.3,3,12.2
3,154,22.4,2,4.2,2.3,2,15.1
3,38,12.6,1,1.7,3.8,2,1.5
3,59,13.3,0,0.7,3.5,2,5.0
4,603,13.0,0,0.8,25.1,3,4.8
3,379,24.0,0,0.6,0.7,2,0.5
2,34,21.0,0,0.8,22.0,3,6.6
